period,reporterDesc,flowDesc,country,imports,gdp
2006,Canada,Import,Austria,1254709228,3.34E+11
2006,Canada,Import,Belgium,1729078167,4.08E+11
2006,Canada,Import,Bulgaria,98133685,34380536496
2006,Canada,Import,Croatia,23349695,49583544860
2006,Canada,Import,Cyprus,3438945,20072754987
2006,Canada,Import,Czechia,301226542,1.56E+11
2006,Canada,Import,Denmark,1255647908,2.83E+11
2006,Canada,Import,Estonia,42908018,17025671810
2006,Canada,Import,Finland,984503869,2.17E+11
2006,Canada,Import,France,4554662918,2.32E+12
2006,Canada,Import,Germany,9849533143,3.05E+12
2006,Canada,Import,Greece,181026554,2.69E+11
2006,Canada,Import,Hungary,240400749,1.16E+11
2006,Canada,Import,Ireland,2253773105,2.32E+11
2006,Canada,Import,Italy,4347023274,1.96E+12
2006,Canada,Import,Latvia,13348154,20434922247
2006,Canada,Import,Lithuania,410062970,30116192747
2006,Canada,Import,Luxembourg,84303851,42910146296
2006,Canada,Import,Malta,20778030,6749838806
2006,Canada,Import,Netherlands,1401009358,7.38E+11
2006,Canada,Import,Poland,522002807,3.46E+11
2006,Canada,Import,Portugal,312631464,2.09E+11
2006,Canada,Import,Romania,183144584,1.22E+11
2006,Canada,Import,Slovakia,155464740,70751813443
2006,Canada,Import,Slovenia,60831553,39260368837
2006,Canada,Import,Spain,1237917579,1.26E+12
2006,Canada,Import,Sweden,2079301510,4.23E+11
