period,reporterDesc,flowDesc,country,exports,gdp
2006,Canada,Export,Austria,403537234,3.34E+11
2006,Canada,Export,Belgium,2124879873,4.08E+11
2006,Canada,Export,Bulgaria,46960349,34380536496
2006,Canada,Export,Croatia,22193152,49583544860
2006,Canada,Export,Cyprus,13007061,20072754987
2006,Canada,Export,Czechia,191431075,1.56E+11
2006,Canada,Export,Denmark,276044912,2.83E+11
2006,Canada,Export,Estonia,25439561,17025671810
2006,Canada,Export,Finland,417869166,2.17E+11
2006,Canada,Export,France,2540996402,2.32E+12
2006,Canada,Export,Germany,3487001647,3.05E+12
2006,Canada,Export,Greece,135278419,2.69E+11
2006,Canada,Export,Hungary,115359587,1.16E+11
2006,Canada,Export,Ireland,335335075,2.32E+11
2006,Canada,Export,Italy,1660448420,1.96E+12
2006,Canada,Export,Latvia,47532994,20434922247
2006,Canada,Export,Lithuania,28333233,30116192747
2006,Canada,Export,Luxembourg,143327140,42910146296
2006,Canada,Export,Malta,7335614,6749838806
2006,Canada,Export,Netherlands,2701045144,7.38E+11
2006,Canada,Export,Poland,273551678,3.46E+11
2006,Canada,Export,Portugal,133054254,2.09E+11
2006,Canada,Export,Romania,188563977,1.22E+11
2006,Canada,Export,Slovakia,19066193,70751813443
2006,Canada,Export,Slovenia,41141332,39260368837
2006,Canada,Export,Spain,1049272618,1.26E+12
2006,Canada,Export,Sweden,402972368,4.23E+11
